Quantity,Description,Digi-Key Part Number,Manufacturer Part Number,Manufacturer Name,Unit Price,Extended Price,Customer Reference
1,IC MULTIPLEXER 4 X 2:1 16SOIC,296-31835-1-ND,SN74HCT157DR,Texas Instruments,0.44000,$0.44,
1,IC GATE NAND OPEN 4CH 2IN 14SOIC,296-29733-1-ND,SN74LS38DR,Texas Instruments,0.95000,$0.95,
1,IC OPAMP JFET 4 CIRCUIT 14SO,497-LF347DTCT-ND,LF347DT,STMicroelectronics,0.61000,$0.61,
3,IC GATE AND 4CH 2-INP 14SOIC,296-14862-1-ND,SN74HCT08DR,Texas Instruments,0.44000,$1.32,
1,IC DRIVER 4/0 14SOIC,296-1276-1-ND,SN75188DR,Texas Instruments,0.66000,$0.66,
1,IC RECEIVER 0/4 14SOIC,296-14957-1-ND,SN75189DR,Texas Instruments,0.66000,$0.66,
2,IC FF D-TYPE SNGL 10BIT 20SOIC,296-CY74FCT821ATSOC-ND,CY74FCT821ATSOC,Texas Instruments,0.95000,$1.90,
1,IC SRAM 8MBIT PARALLEL 44TSOP II,428-2077-ND,CY62157ELL-45ZSXI,Cypress Semiconductor Corp,22.86000,$22.86,
2,IC GATE OR 4CH 2-INP 14SO,1727-2845-1-ND,"74HCT32D,653",Nexperia USA Inc.,0.40000,$0.80,
1,IC DECODER/DEMUX 1 X 3:8 16SO,1727-2835-1-ND,"74HCT138D,653",Nexperia USA Inc.,0.50000,$0.50,
1,IC PRIORITY ENCOD 1 X 8:3 16SOIC,296-29445-1-ND,SN74LS148DR,Texas Instruments,1.66000,$1.66,
1,IC QUAD DIFF COMPARATOR 14 -SOIC,296-6604-1-ND,LM339ADR,Texas Instruments,0.44000,$0.44,
1,IC REG LINEAR -5V 1.5A D2PAK,497-1214-1-ND,L7905CD2T-TR,STMicroelectronics,0.96000,$0.95,
1,IC INVERT SCHMITT 6CH 6-INP 14SO,1727-2836-1-ND,"74HCT14D,653",Nexperia USA Inc.,0.48000,$0.48,
1,IC SUPERVISOR 1 CHANNEL SOT23-3,DS1813R-5+CT-ND,DS1813R-5+T&R,Maxim Integrated,2.53000,$2.53,
1,XTAL OSC XO 28.63636MHZ CMOS SMD,887-1207-1-ND,7C-28.63636MBB-T,TXC CORPORATION,1.94000,$1.94,Optional NTSC Oscillator
1,CAP CER 270PF 50V C0G/NP0 1206,399-1209-1-ND,C1206C271K5GACTU,KEMET,0.41000,$0.41,
1,CONN HEADER VERT 34POS 2.54MM,S2011EC-17-ND,PRPC017DAAN-RC,Sullins Connector Solutions,0.76000,$0.76,Floppy Header
10,JACK SCREW 4-40 WITH 5.5MM THREA,2092-JSX-1055-5.9-ND,JSX-1055-5.9,"Kycon, Inc.",0.31800,$3.18,"D-Sub Jack Screws, As Needed"
1,BATTERY HOLDER COIN 20MM PC PIN,36-1066-ND,1066,Keystone Electronics,1.42000,$1.42,
4,IC BUF NON-INVERT 5.5V 20SOIC,296-4722-1-ND,SN74AHCT244DWR,Texas Instruments,0.56000,$2.24,
1,CONN HEADER VERT 3POS 2.54MM,WM4112-ND,0022272031,Molex,0.41000,$0.41,
5,CAP ALUM 220UF 20% 25V SMD,493-2278-1-ND,UUD1E221MNL1GS,Nichicon,0.77000,$3.85,
6,RES ARRAY 5 RES 1K OHM 6SIP,4606X-1-102LF-ND,4606X-101-102LF,Bourns Inc.,0.43000,$2.58,"RN205, RN301, RN607, RN800, RN903, RN908"
1,RES ARRAY 5 RES 10K OHM 6SIP,770-61-R10KP-ND,77061103P,CTS Resistor Products,0.56000,$0.56,
4,CONN JUMPER SHORTING TIN,S9000-ND,STC02SYAN,Sullins Connector Solutions,0.10000,$0.40,
1,CONN HEADER VERT 3POS 2.54MM,1849-1003-ND,PR20203VBNN,METZ CONNECT USA Inc.,0.10000,$0.10,JP9005
6,CONN HEADER VERT 2POS 2.54MM,S1011EC-02-ND,PRPC002SAAN-RC,Sullins Connector Solutions,0.08000,$0.48,2-position header
4,DIODE GEN PURP 1KV 1A SOD123F,RS1MWF-7DICT-ND,RS1MWF-7,Diodes Incorporated,0.46000,$1.84,
1,CONN D-SUB PLUG 9POS R/A SLDR,L17H2110130-ND,L17H2110130,Amphenol ICC (Commercial Products),3.37000,$3.37,
1,"MACHINE PIN SOCKET, IC, DIP, 42P",2057-ICM-642-1-GT-HT-ND,ICM-642-1-GT-HT,Adam Tech,1.27000,$1.27,Kickstart
3,RES SMD 30K OHM 1% 1/4W 1206,311-30.0KFRCT-ND,RC1206FR-0730KL,Yageo,0.10000,$0.30,
1,RES SMD 6.2K OHM 1% 1/4W 1206,311-6.20KFRCT-ND,RC1206FR-076K2L,Yageo,0.10000,$0.10,
