Quantity,Description,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Customer Reference,Unit Price,Extended Price
8,IC TXRX NON-INVERT 5.5V 20SOIC,74HCT245DCT-ND,74HCT245D,Toshiba Semiconductor and Storage,,0.54,$4.32
2,JFET N-CH 25V 20MA SOT23,MMBFJ211CT-ND,MMBFJ211,ON Semiconductor,,0.43,$0.86
1,RES 1 OHM 1% 1/2W 1206,13-AC1206FR-7W1RLCT-ND,AC1206FR-7W1RL,Yageo,,0.24,$0.24
1,RES 47 OHM 1% 1/2W 1206,13-RC1206FR-7W47RLCT-ND,RC1206FR-7W47RL,Yageo,,0.21,$0.21
2,RES ARRAY 4 RES 47 OHM 8SIP,4608X-2-470LF-ND,4608X-102-470LF,Bourns Inc.,"RN102, RN902",0.44,$0.88
1,RES ARRAY 5 RES 1K OHM 10SIP,4610X-2-102LF-ND,4610X-102-102LF,Bourns Inc.,RN802,0.55,$0.55
6,RES ARRAY 7 RES 1K OHM 8SIP,4608X-1-102LF-ND,4608X-101-102LF,Bourns Inc.,,0.44,$2.64
1,RES ARRAY 7 RES 4.7K OHM 8SIP,4608X-1-472LF-ND,4608X-101-472LF,Bourns Inc.,,0.44,$0.44
1,RES ARRAY 8 RES 4.7K OHM 9SIP,4609X-101-472LF-ND,4609X-101-472LF,Bourns Inc.,,0.5,$0.50
1,RES ARRAY 9 RES 10K OHM 10SIP,4610X-1-103LF-ND,4610X-101-103LF,Bourns Inc.,,0.55,$0.55
5,RES ARRAY 9 RES 1K OHM 10SIP,4610X-1-102LF-ND,4610X-101-102LF,Bourns Inc.,,0.55,$2.75
1,RES ARRAY 9 RES 2.7K OHM 10SIP,4610X-1-272LF-ND,4610X-101-272LF,Bourns Inc.,,0.63,$0.63
2,RES ARRAY 9 RES 3.3K OHM 10SIP,4610X-1-332LF-ND,4610X-101-332LF,Bourns Inc.,,0.55,$1.10
2,RES ARRAY 9 RES 4.7K OHM 10SIP,4610X-1-472LF-ND,4610X-101-472LF,Bourns Inc.,,0.55,$1.10
1,RES ARRAY 9 RES 470 OHM 10SIP,4610X-1-471LF-ND,4610X-101-471LF,Bourns Inc.,,0.59,$0.59
2,RES SMD 1 OHM 1% 1/4W 1206,311-1.00FRCT-ND,RC1206FR-071RL,Yageo,,0.15,$0.30
2,RES SMD 1.2K OHM 1% 1/4W 1206,311-1.20KFRCT-ND,RC1206FR-071K2L,Yageo,,0.1,$0.20
2,RES SMD 10 OHM 1% 1/4W 1206,311-10.0FRCT-ND,RC1206FR-0710RL,Yageo,,0.15,$0.30
16,RES SMD 10K OHM 1% 1/4W 1206,311-10.0KFRCT-ND,RC1206FR-0710KL,Yageo,,0.074,$1.18
58,RES SMD 1K OHM 1% 1/4W 1206,311-1.00KFRCT-ND,RC1206FR-071KL,Yageo,,0.074,$4.29
1,RES SMD 2.7K OHM 1% 1/4W 1206,311-2.70KFRCT-ND,RC1206FR-072K7L,Yageo,,0.1,$0.10
1,RES SMD 200 OHM 1% 1/4W 1206,311-200FRCT-ND,RC1206FR-07200RL,Yageo,,0.1,$0.10
7,RES SMD 22 OHM 1% 1/4W 1206,YAG3847CT-ND,AC1206FR-0722RL,Yageo,,0.1,$0.70
3,RES SMD 330 OHM 1% 1/4W 1206,311-330FRCT-ND,RC1206FR-07330RL,Yageo,,0.1,$0.30
2,RES SMD 360 OHM 1% 1/4W 1206,311-360FRCT-ND,RC1206FR-07360RL,Yageo,,0.1,$0.20
2,RES SMD 390 OHM 1% 1/4W 1206,311-390FRCT-ND,RC1206FR-07390RL,Yageo,,0.1,$0.20
11,RES SMD 4.7K OHM 1% 1/4W 1206,311-4.70KFRCT-ND,RC1206FR-074K7L,Yageo,,0.074,$0.81
22,RES SMD 47 OHM 1% 1/4W 1206,311-47.0FRCT-ND,RC1206FR-0747RL,Yageo,,0.074,$1.62
6,RES SMD 470 OHM 1% 1/4W 1206,311-470FRCT-ND,RC1206FR-07470RL,Yageo,,0.1,$0.60
2,RES SMD 470K OHM 1% 1/4W 1206,311-470KFRCT-ND,RC1206FR-07470KL,Yageo,,0.1,$0.20
1,RES SMD 47K OHM 1% 1/4W 1206,311-47.0KFRCT-ND,RC1206FR-0747KL,Yageo,,0.1,$0.10
6,RES SMD 68 OHM 1% 1/4W 1206,311-68.0FRCT-ND,RC1206FR-0768RL,Yageo,,0.1,$0.60
1,TRANS NPN 40V 0.2A SOT23,MMBT3904TPMSCT-ND,MMBT3904-TP,Micro Commercial Co,,0.1,$0.10
3,TRANS PNP 40V 0.2A SOT23,MMBT3906-TPCT-ND,MMBT3906-TP,Micro Commercial Co,,0.14,$0.42
1,XTAL OSC XO 28.63636MHZ CMOS SMD,887-1207-1-ND,7C-28.63636MBB-T,TXC CORPORATION,Optional NTSC SMD Oscillator,1.94,$1.94
